timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2018-12-04T00:00:00.000Z";"2018-12-04T23:59:59.999Z";"2018-12-04T00:12:24.000Z";"2018-12-04T06:09:17.000Z";"2781";1.0131306173;1.0185885559;1.0024802803;1.0159249877;26453945.68;198806108.785778;"2018-12-04T23:59:59.999Z"
"2018-12-03T00:00:00.000Z";"2018-12-03T23:59:59.999Z";"2018-12-03T15:04:18.000Z";"2018-12-03T15:48:20.000Z";"2781";1.0145170199;1.0261531902;1.0075826248;1.0141615215;26199409.48;197802916.973605;"2018-12-03T23:59:59.999Z"
"2018-12-02T00:00:00.000Z";"2018-12-02T23:59:59.999Z";"2018-12-02T05:07:18.000Z";"2018-12-02T09:06:18.000Z";"2781";1.0147368895;1.019580569;1.0103667637;1.0166049958;22340622.32;198289661.313074;"2018-12-02T23:59:59.999Z"
"2018-12-01T00:00:00.000Z";"2018-12-01T23:59:59.999Z";"2018-12-01T21:18:19.000Z";"2018-12-01T10:19:21.000Z";"2781";1.0125719098;1.0307351514;1.0024363031;1.0154720035;28394096.64;198068670.219724;"2018-12-01T23:59:59.999Z"
"2018-11-30T00:00:00.000Z";"2018-11-30T23:59:59.999Z";"2018-11-30T11:16:22.000Z";"2018-11-30T07:47:21.000Z";"2781";1.010826797;1.0221307591;1.006812122;1.0089202154;36088157.82;196588949.338746;"2018-11-30T23:59:59.999Z"
"2018-11-29T00:00:00.000Z";"2018-11-29T23:59:59.999Z";"2018-11-29T01:37:19.000Z";"2018-11-29T11:26:24.000Z";"2781";1.0092637539;1.0202810702;1.0052019447;1.012169039;42686468.82;194509372.318633;"2018-11-29T23:59:59.999Z"
"2018-11-28T00:00:00.000Z";"2018-11-28T23:59:59.999Z";"2018-11-28T06:56:20.000Z";"2018-11-28T12:57:16.000Z";"2781";1.01192;1.02059;1.00601;1.01174;55490700;193765144.392829;"2018-11-28T23:59:59.999Z"
"2018-11-27T00:00:00.000Z";"2018-11-27T23:59:59.999Z";"2018-11-27T08:29:19.000Z";"2018-11-27T10:24:18.000Z";"2781";1.01349;1.01969;0.99917;1.01252;40141800;193494949.285583;"2018-11-27T23:59:59.999Z"
"2018-11-26T00:00:00.000Z";"2018-11-26T23:59:59.999Z";"2018-11-26T16:34:18.000Z";"2018-11-26T16:47:17.000Z";"2781";1.01475;1.02609;1.00617;1.01219;51753200;185897153.272679;"2018-11-26T23:59:59.999Z"
"2018-11-25T00:00:00.000Z";"2018-11-25T23:59:59.999Z";"2018-11-25T10:41:16.000Z";"2018-11-25T11:04:18.000Z";"2781";1.01341;1.02517;0.981923;1.01892;69179600;187235066.235252;"2018-11-25T23:59:59.999Z"
